,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
150,Ukraine,UKR,867693.0,7569706039296.0,26935791751168.0,569691113216.0,2878477443440.0,10423886027008.0,212178486402.0,242325644771328.0,36450880458752.0,9801022517760.0
151,United Arab Emirates,ARE,70905.0,4721187328.0,81824440320.0,717422720.0,205224062.0,3665503712.0,30848544.375,298597132544.0,377639917568.0,11589211568.0
152,United Kingdom,GBR,665880.0,2101796138858.75,28206935305027.516,45826495461.15924,218696846520.49023,3391274182997.8477,5559472400.988799,181050917500398.0,29552555736487.79,5971849744688.742
153,United Republic of Tanzania,TZA,2494807.0,247123233461.0,50320555055.27734,18031957468.946777,19024984696.160156,3517351269.1669006,1797499101.911377,11080523364868.0,29257719781240.0,754858899443.625
154,United States,USA,14603578.0,56891612529924.31,95708191611434.64,12631873095043.088,5052707055362.897,9510217641890.916,1023768462579.8761,3855464155233222.0,687011286764050.8,106110641600606.19
155,Uruguay,URY,532858.0,19609863347.320312,45918584940.24609,1792152167.5097656,291519748.19095695,1399414253.883177,27965749.010099776,693379946616.0,217515733520.125,19794233706.5625
156,Uzbekistan,UZB,193126.0,214776638634.40625,428318985892.4922,7328038369.444336,956815875.53125,1918315701.921875,32374737.647460938,10594610345744.0,1440224311379.0625,432549076629.0
157,Venezuela,VEN,1457584.0,209082483260.2862,2007860895775.5105,7805617846.184956,37416835858.746216,376537041379.0139,1574056423.4742146,7357805651126.0,2872708775419.25,178787728560.76562
158,Viet Nam,VNM,710561.0,1568564198504.0,928971540436.0,46479689243.625,699496838232.0,414495031750.0,20460790807.5,117076177089280.0,46243495454496.0,2156282049761.5
159,Yemen,YEM,652019.0,77419979891.07422,389298031936.76953,5920123043.567871,6442129393.851563,54588666962.34375,555203186.9150391,3112490024639.5,970296742491.125,172590946678.625
160,Zambia,ZMB,2838505.0,363190685.4441662,14116925.240650944,32579670.93301907,2646730909.775198,39874703.23966182,85964540.74480557,169363547563.6875,22190799767.82617,6590383083.043945
161,Zimbabwe,ZWE,1145481.0,20833601540.40625,1597106427.9375,3080112335.7695312,225290685.16210938,30221027.95678711,36082190.21875,1925947243132.0,205085203823.625,63873032561.125
