,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
30,Chile,CHL,4811234.0,412344187724.2236,1645439927913.7517,24255530705.013847,195317507963.1297,602526248585.7053,11018951732.46961,8781495704701.678,4895423502924.027,403732115832.82086,15997841290240.0,3906696449872.0,2689193555048.0
31,China,CHN,15512118.0,82487743034808.1,369215858551647.06,5244314597150.34,5881008724918.293,32324950111896.473,354250162544.1134,3105568584743620.0,5533422356954222.0,112572730780543.23,1129644910163920.0,272062957633636.25,189585008886219.88
32,Colombia,COL,2885141.0,754396248065.696,742070352388.9617,19059487141.261772,42724928918.4669,33143403269.34609,1124692794.5671484,18905384694846.062,4145865030442.6875,496834392965.7578,49486459917312.0,12244901611776.0,8256875088640.0
33,Congo,COG,785879.0,239838205.33398438,18543907.84814453,18439148.045837402,1309778911.998291,363137079.84375,45158270.706715345,40306366974.0,10136778543.5625,3634717665.96875,2748846139392.0,691617836032.0,454789891584.0
34,Costa Rica,CRI,316060.0,174167079800.0,437776918388.0,6023092996.25,238511408552.75,607628168006.875,7572526760.082031,7680814866768.0,1624975036950.0,211201266886.25,5504737228672.0,1350167904320.0,922304088992.0
35,Cote d'Ivoire,CIV,1032489.0,2942564979328.0,19262045028.552734,10575870683.71875,1037861707009.0,8865889171.993164,3079707188.1328125,22485984948224.0,9875542064544.0,770728428254.0,25714431421696.0,6486903911872.0,4230631344448.0
36,Croatia,HRV,309025.0,431079216940.0,1362457152154.0,36353150990.71875,353715128924.25,1214749364612.25,26383415219.5625,55097807700352.0,9148521419524.0,1380850730356.0,7839474163200.0,1901999884800.0,1336210080384.0
37,Cuba,CUB,563206.0,548185463893.6875,4167888990547.0,56807064939.52344,110594248794.5,828797542602.0,11531901775.3125,10735362940744.0,28794127780912.0,783001467089.0,7397085220864.0,1795607904512.0,1251078947200.0
38,Cyprus,CYP,98989.0,212539453.609375,4812668128.875,32548869.162109375,627343995.3203125,13973810185.0,93105115.05175781,1555917257.3828125,15826841299.982422,268003248.4946289,1315222045184.0,318378194136.0,222408968368.0
39,Czech Republic,CZE,71547.0,386894704640.0,2220130123776.0,6709935680.0,195957082112.0,1200006586368.0,3544913728.0,29182253596672.0,3868683632640.0,948048158720.0,6256546873344.0,1513627828224.0,1064867880960.0
40,Democratic Republic of the Congo,COD,5175805.0,12920819837.753418,444781705.61308694,564437286.1540527,33956980341.57965,1432619084.362547,1347301512.6823025,2035664202076.098,585390629202.7676,142102096162.5771,79341294840832.0,20159054689280.0,13063969239296.0
41,Denmark,DNK,182518.0,278778823189.4844,2022136675076.246,2639263860.0390625,161440927121.0,1110363390423.1562,1619895200.234375,75246127992832.0,3664453876064.0,2196670353664.0,6567945133056.0,1602463012608.0,1116599285120.0
42,Djibouti,DJI,28304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538735935488.0,133633720320.0,88556617728.0
43,Dominican Republic,DOM,230309.0,399867636788.25,694424388554.625,21917942928.152344,161937610304.0,258454311104.0,8370484604.0,5625069895680.0,4411124300800.0,256374061184.0,13861347296016.0,3438983508784.0,2311269065000.0
44,Ecuador,ECU,1019440.0,334762885625.7816,158312391019.33203,5329523928.856201,73374117584.3805,24872250179.15625,1065526925.3332367,8262581974438.0,1559169471179.0,227217786334.4375,16570180440064.0,4105365033856.0,2762531283200.0
45,Egypt,EGY,692350.0,4301988136572.4375,35760268757367.414,412909581960.5,16961302043.070332,144188266332.36734,1635456131.505861,227690666959801.12,92665258438950.44,8068950062035.98,95183526087936.0,23519967692480.0,15760471596864.0
46,El Salvador,SLV,27451.0,11951122432.0,13505522688.0,1227532160.0,4262760448.0,4797766144.0,426663776.0,558040285184.0,80516800512.0,22912770048.0,284699983872.0,71218929664.0,47548006400.0
47,Equatorial Guinea,GNQ,94170.0,1984923.25,0.0,9013.1171875,265835796.875,288560066.0,5304513.890625,2579607976.0,15661671236.0,129489074.75,651161329664.0,163159568384.0,106909429760.0
48,Eritrea,ERI,239205.0,5375075015.5,468263497.96875,288794483.125,803772144.887945,125111151.03911415,50471486.507973015,409586696010.375,6296796421.007043,8440192522.83012,5569644822528.0,1407613009920.0,915765399552.0
49,Estonia,EST,67469.0,2757631112.375,15728898306.945312,36734685.93017578,12529329616.875,56420006494.28906,143162737.16918945,1208577768888.0,110569186228.9375,38581481253.25,312075538048.0,76075085920.0,53489578128.0
50,Ethiopia,ETH,3115310.0,230726788832.29675,32244638656.203148,34011496066.458496,5441745544.536504,465040725.8236591,803474217.1981888,31786767345908.3,8940336222087.469,1488244227225.6775,103369171519488.0,26281592655872.0,17009895660544.0
