,iso3,long,lat,cur,SSP1,SSP3,SSP5
8049,PNG34164.0,-4.5,144.5,0.6621418785374285,0.6923427700011084,0.8457013125713125,0.6755029973545615
8050,PNG34165.0,-4.5,145.5,0.08319385207456594,0.08620072624418293,0.10757715592497433,0.08578025462355594
8051,PNG34171.0,-4.5,151.5,0.09835953158528375,0.10025707431205397,0.12391139465934385,0.09813272691308994
8052,PNG34172.0,-4.5,152.5,0.533816281653264,0.5478334628508392,0.6693237482141332,0.4971694302227901
8053,PNG34173.0,-4.5,153.5,0.8335354809985782,0.8865900667651369,1.0724675499680512,0.8383332316149236
8054,PNG34521.0,-5.5,141.5,0.5610189764900758,0.5990084042402158,0.7242000627790007,0.5703313555125095
8055,PNG34522.0,-5.5,142.5,2.9128426180559113,2.9758587779749424,3.602868630278875,2.8442926471472454
8056,PNG34523.0,-5.5,143.5,0.06717602692082408,0.0696380501968192,0.08484146421955542,0.06748173921289458
8057,PNG34524.0,-5.5,144.5,0.0031986972037532646,0.003275483395674956,0.003992445910820774,0.003167316272694301
8058,PNG34525.0,-5.5,145.5,0.6815225781054658,0.7207229074217711,0.8792853058725685,0.6060935945014814
8059,PNG34526.0,-5.5,146.5,0.2884559532439754,0.29884986529322966,0.3667147934366199,0.21914971194356334
8060,PNG34527.0,-5.5,147.5,0.6390122065918965,0.6737261890574724,0.8165192222289127,0.6350961222802994
8061,PNG34528.0,-5.5,148.5,1.2475790174485126,1.3105200044752956,1.5916184880702338,1.2132734282388562
8062,PNG34529.0,-5.5,149.5,3.3779482609572957,3.619665893674695,4.459622504463971,3.1193143665080907
8063,PNG34530.0,-5.5,150.5,3.459940871238528,3.6450181493370466,4.486605746700218,3.3434469353417864
8064,PNG34531.0,-5.5,151.5,4.248834260034298,4.300594533556123,5.183452268790043,4.047466400423524
8065,PNG34534.0,-5.5,154.5,1601.9641472334156,532.7988475677362,319.05477245852506,246.7208729350333
8066,PNG34535.0,-5.5,155.5,25.520302789900022,19.117021647212695,11.09131076146075,8.554919121181497
8067,PNG34880.0,-6.5,140.5,6.805844366610524,6.845565127014688,4.0017245718836065,3.0830395103889283
8068,PNG34881.0,-6.5,141.5,22.9207456571508,13.287519504208515,3.723567682008571,2.8685998566583
8069,PNG34882.0,-6.5,142.5,205.0198917456542,25.264175566745696,1.8218441043249394,1.4055280110369537
8070,PNG34883.0,-6.5,143.5,2015.7699287740659,262.0874670913413,31.609409987278582,24.4348330759101
8071,PNG34884.0,-6.5,144.5,16609.155197755827,276.3521456901788,72.59689979048517,56.06465008269323
8072,PNG34885.0,-6.5,145.5,2579.663304034257,43.29066696892348,6.00193380173751,4.589663234020403
8073,PNG34886.0,-6.5,146.5,2089.262160255993,119.81346449779556,14.441478623139865,11.042939374524025
8074,PNG34887.0,-6.5,147.5,1656.3076910801929,126.7122191967657,5.081610147910423,3.836872060383196
8075,PNG35241.0,-7.5,141.5,46.83557086229883,28.978010040529206,22.40048499722137,13.608631896360802
8076,PNG35242.0,-7.5,142.5,50.31801572121917,24.779713171588988,12.682396440249942,7.644142545392176
8077,PNG35243.0,-7.5,143.5,307.95307906286405,130.46517900245334,7.696602631357567,4.663802166036644
8078,PNG35244.0,-7.5,144.5,599.0526710718002,152.17708471951707,16.431236200951872,9.997915160396415
8079,PNG35245.0,-7.5,145.5,8394.832952448229,780.1242047288956,107.1432786632529,64.93478055863149
8080,PNG35246.0,-7.5,146.5,59.13012049916629,26.50707694238583,8.335482747887657,4.996348434062213
8081,PNG35247.0,-7.5,147.5,81.9408645714786,14.00600180174522,4.44363642467017,2.695804459251144
8082,PNG35601.0,-8.5,141.5,24.197562141591686,8.352355920247021,1.9049736458598765,1.1544515622412623
8083,PNG35602.0,-8.5,142.5,82.71107031079875,16.49331953068909,1.3166803563626799,0.7916251760584807
8084,PNG35603.0,-8.5,143.5,136.59082082752528,110.2641231407177,29.511685691217608,17.899490662928045
8085,PNG35606.0,-8.5,146.5,2.0565893967652613,2.463131731216956,2.5089913366427545,1.5707491823026263
8086,PNG35607.0,-8.5,147.5,0.8681881881541397,1.63645223831222,1.9551589238205953,1.4474681661620072
8087,PNG35608.0,-8.5,148.5,2.3332052819013636,3.8476187902454178,4.344243085084578,2.8832478252939917
8088,PNG35611.0,-8.5,151.5,7.172567663221362,6.953421406360334,5.685439877830341,3.920797126192547
8089,PNG35961.0,-9.5,141.5,73.13371481142916,17.47395924595526,10.242056670793358,7.231623347089076
8090,PNG35962.0,-9.5,142.5,31.83262463392655,12.814922349830523,7.694010806926862,5.403534160489205
8091,PNG35963.0,-9.5,143.5,20.525467000328607,12.069634809344882,7.3989121574731955,5.565217584432937
8092,PNG35966.0,-9.5,146.5,29.17906354736302,23.59273394560986,12.076187925278438,9.191348199908532
8093,PNG35967.0,-9.5,147.5,145.08102381106954,55.27306342137557,8.68361249972868,6.6152298872325765
8094,PNG35968.0,-9.5,148.5,-12543491072.0,886.8556018602308,1290.0908898998625,887.7427887150845
8095,PNG35969.0,-9.5,149.5,2.8339515914761577,3.109077725599351,4.116954780181933,2.9735454005033626
8096,PNG35970.0,-9.5,150.5,20.02551167337254,4.993344808061825,6.136928913752551,4.189375636600602
8097,PNG35971.0,-9.5,151.5,85.47241327120871,10.952010423383518,13.328050228820375,9.042231818578797
8098,PNG35972.0,-9.5,152.5,331.28419739055835,526.7300685055841,492.7862067789218,1676.6015249597963
8099,PNG36329.0,-10.5,149.5,-258722640.0,1414.3994625488424,1406.2229967841847,-5894400000.0
8100,PNG36330.0,-10.5,150.5,2.119870649399928,2.0246267916107805,2.707922372134509,1.708450130649253
8101,PNG36331.0,-10.5,151.5,4.443534262989252,3.8230972666836887,4.1558007668958385,3.334732233573638
8102,PER33584.0,-3.5,-75.5,1.7772741786035096,1.1640321589041533,1.454695188301481,0.9642321822027563
8103,PER33586.0,-3.5,-73.5,2.7943847788723657,1.4411353301623955,0.8216357536126835,0.723752121329401
8104,PER33587.0,-3.5,-72.5,4.035252357734636,2.968657518326888,2.0374535702043857,2.0133233168420133
8105,PER33588.0,-3.5,-71.5,6.812035811235474,6.348862914548563,4.5972911845220175,4.5881112212087745
8106,PER33938.0,-4.5,-81.5,16.96209819497974,12.963919446551445,15.06678395454078,11.096601605820043
8107,PER33942.0,-4.5,-77.5,3352.3406128103215,2585.585140249157,2572.140805320554,2381.748032926457
8108,PER33943.0,-4.5,-76.5,77.43115163991412,95.06698828417359,17.43520344165961,28.632043096152486
8109,PER33944.0,-4.5,-75.5,113.73148297238903,151.9934322991556,38.19917611844475,62.49217180361463
8110,PER33946.0,-4.5,-73.5,83.21631926896175,111.56404500745565,33.49591057797165,56.54593757701713
8111,PER34299.0,-5.5,-80.5,154.2164677049839,206.6464964471682,75.7188766746546,92.90469383022914
8112,PER34301.0,-5.5,-78.5,11.095058988991832,12.65764700840772,6.972488177603839,6.814291868878452
8113,PER34302.0,-5.5,-77.5,1749.0397751440917,2221.2636105228557,171.05285750060972,1025.557893995564
8114,PER34303.0,-5.5,-76.5,4.049278952565087,3.742855757652943,5.509835258553378,2.6980267651994536
8115,PER34304.0,-5.5,-75.5,8.886862834267202,9.274868987081256,11.251313220946084,5.383031929987453
8116,PER34305.0,-5.5,-74.5,0.12150789597831141,0.12582824133557097,0.15333697931820978,0.12248976866872482
8117,PER34659.0,-6.5,-80.5,0.1294173089277108,0.13835550927965934,0.1686765262714444,0.12876801695601506
8118,PER34660.0,-6.5,-79.5,0.17082021402915593,0.17760165270033157,0.21916167825754101,0.1728552618647488
8119,PER34661.0,-6.5,-78.5,0.14579511923943927,0.15051568955757919,0.1847779975318928,0.146058245025822
8120,PER34662.0,-6.5,-77.5,0.0245440394306611,0.02610417347769788,0.03120768134275975,0.02569008943420282
8121,PER34663.0,-6.5,-76.5,0.015009324207285313,0.015609978851676087,0.019431207546745866,0.01572758374760432
8122,PER34664.0,-6.5,-75.5,0.09068563180225735,0.09362753409553731,0.11573468714302242,0.09073627037369299
8123,PER34665.0,-6.5,-74.5,1.2939311222071233,1.333188362377752,1.6538956475837698,1.288319066814284
8124,PER35020.0,-7.5,-79.5,0.5168670247302236,0.5359267686499044,0.6547196441847071,0.5218018592572878
8125,PER35021.0,-7.5,-78.5,0.8877836889954686,0.940464186756747,1.1433297773630942,0.906451425671114
8126,PER35022.0,-7.5,-77.5,0.3782846586198103,0.40558301409031206,0.49284654085104773,0.39749587444874523
8127,PER35023.0,-7.5,-76.5,0.05285507992447689,0.05481581484584533,0.06686537062948428,0.0532648738749632
8128,PER35024.0,-7.5,-75.5,0.09935798696809368,0.10282783833956867,0.125437796050562,0.09508499066908825
8129,PER35381.0,-8.5,-78.5,0.07557519210293619,0.07705743080305412,0.09368968255459584,0.0741484363492383
8130,PER35382.0,-8.5,-77.5,1.8518816707229746,1.885583361364215,2.29566258690145,1.3542023152000193
8131,PER35383.0,-8.5,-76.5,0.5863829939611965,0.5965337003242847,0.725279507803995,0.5512738968814891
8132,PER35384.0,-8.5,-75.5,0.5854939108665755,0.606926200405984,0.740221554364894,0.5813849677148639
8133,PER35385.0,-8.5,-74.5,0.6293774403036034,0.6522512263489839,0.8178395193544308,0.6288921470155826
8134,PER35741.0,-9.5,-78.5,5.829538686472676,6.300873262436976,7.665784379849023,5.500619412717616
8135,PER35742.0,-9.5,-77.5,69.16176018820128,75.63254234572157,91.09517363477583,71.2116817914603
8136,PER35743.0,-9.5,-76.5,318.49861596185826,165.58379809528972,114.17274495710718,88.14921219655234
8137,PER35744.0,-9.5,-75.5,72.72663739533496,85.2512224088694,59.06365956336685,46.07284987925221
8138,PER35745.0,-9.5,-74.5,12.41553158658565,12.50042586010814,7.413337122823593,5.665967999616844
8139,PER36101.0,-10.5,-78.5,28.150783669911807,21.472127060642418,8.19389431038304,6.2658517229835144
8140,PER36102.0,-10.5,-77.5,1058.8515878687567,82.40317453900676,7.835184493355865,6.05254864725461
8141,PER36103.0,-10.5,-76.5,153.87675255672357,53.78178515894253,18.255238122163327,14.181303448501518
8142,PER36104.0,-10.5,-75.5,4476.732320132952,86.3984229873295,21.564684335905397,16.72850073542498
8143,PER36105.0,-10.5,-74.5,1561.366928039463,65.46106560901373,8.793646848007393,6.795836640752529
8144,PER36106.0,-10.5,-73.5,144.44368556918948,16.70360703294525,2.346547294536244,1.7920965349549154
8145,PER36462.0,-11.5,-77.5,126.99024333710781,22.037407836038977,3.299533222616189,2.4645372077379686
8146,PER36463.0,-11.5,-76.5,114600.74609417989,12494.45205840404,1258.6769829747566,760.2545638019132
8147,PER36464.0,-11.5,-75.5,15.996738802030524,11.84728353480541,10.535873848735731,6.370940394656109
8148,PER36465.0,-11.5,-74.5,27.75382752313778,16.18786065380261,8.905280242251017,5.363879726679874
8149,PER36466.0,-11.5,-73.5,68704.19584944501,446.3515602921106,11.176625118060034,7.1072853462718335
8150,PER36467.0,-11.5,-72.5,1421.1489741980379,119.37584737869965,13.985726097794284,8.820195274111915
8151,PER36823.0,-12.5,-76.5,84.57631963700355,15.788641534860407,2.9283864011361143,1.755224886477653
8152,PER36824.0,-12.5,-75.5,109.4446244930118,28.96986826081615,6.578053474235445,5.8414150383230465
8153,PER36825.0,-12.5,-74.5,734.2978610678801,12.768391126083941,0.841003627281876,0.5107316376370206
