,country,1850_lat_min,1850_long_min,1850_lat_max,1850_long_max,1900_lat_min,1900_long_min,1900_lat_max,1900_long_max,1910_lat_min,1910_long_min,1910_lat_max,1910_long_max,1945_lat_min,1945_long_min,1945_lat_max,1945_long_max,1980_lat_min,1980_long_min,1980_lat_max,1980_long_max,2015_lat_min,2015_long_min,2015_lat_max,2015_long_max,SSP1_lat_min,SSP1_long_min,SSP1_lat_max,SSP1_long_max,SSP3_lat_min,SSP3_long_min,SSP3_lat_max,SSP3_long_max,SSP5_lat_min,SSP5_long_min,SSP5_lat_max,SSP5_long_max
25,Cambodia,107.5,12.5,107.5,13.5,102.5,11.5,107.5,12.5,102.5,11.5,107.5,12.5,102.5,11.5,103.5,11.5,103.5,12.5,102.5,11.5,103.5,14.5,102.5,11.5,104.5,14.5,102.5,11.5,104.5,14.5,102.5,11.5,103.5,14.5,102.5,11.5
26,Cameroon,14.5,13.5,9.5,6.5,14.5,13.5,14.5,8.5,14.5,13.5,14.5,8.5,14.5,13.5,14.5,8.5,15.5,9.5,14.5,13.5,12.5,6.5,12.5,5.5,14.5,3.5,12.5,6.5,14.5,6.5,14.5,13.5,13.5,6.5,13.5,5.5
27,Canada,-122.5,59.5,-96.5,50.5,-122.5,59.5,-108.5,52.5,-122.5,59.5,-95.5,50.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5
28,Central African Republic,19.5,9.5,22.5,10.5,19.5,9.5,22.5,10.5,19.5,9.5,22.5,10.5,21.5,10.5,18.5,8.5,22.5,11.5,20.5,8.5,22.5,11.5,22.5,9.5,22.5,11.5,22.5,9.5,22.5,11.5,22.5,8.5,22.5,11.5,22.5,8.5
29,Chad,20.5,15.5,21.5,14.5,20.5,15.5,21.5,14.5,20.5,15.5,21.5,14.5,21.5,15.5,20.5,15.5,13.5,14.5,20.5,15.5,13.5,14.5,21.5,15.5,13.5,14.5,21.5,15.5,20.5,15.5,13.5,14.5,21.5,13.5,13.5,14.5
30,Chile,-69.5,-17.5,-71.5,-32.5,-69.5,-17.5,-71.5,-32.5,-69.5,-17.5,-70.5,-18.5,-70.5,-19.5,-69.5,-17.5,-70.5,-19.5,-70.5,-18.5,-70.5,-19.5,-70.5,-18.5,-70.5,-19.5,-69.5,-18.5,-70.5,-19.5,-69.5,-18.5,-70.5,-19.5,-69.5,-18.5
31,China,122.5,52.5,123.5,50.5,122.5,52.5,123.5,50.5,122.5,52.5,123.5,50.5,122.5,52.5,121.5,50.5,122.5,52.5,121.5,50.5,122.5,52.5,124.5,51.5,122.5,52.5,121.5,50.5,122.5,52.5,123.5,50.5,89.5,48.5,122.5,52.5
32,Colombia,-72.5,12.5,-72.5,11.5,-72.5,12.5,-72.5,11.5,-72.5,12.5,-74.5,11.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-67.5,6.5,-72.5,12.5,-67.5,6.5
33,Congo,16.5,3.5,16.5,3.5,16.5,3.5,12.5,-2.5,16.5,3.5,12.5,-2.5,16.5,3.5,15.5,-0.5,16.5,3.5,16.5,1.5,16.5,3.5,14.5,0.5,16.5,3.5,16.5,1.5,16.5,3.5,12.5,-2.5,16.5,3.5,11.5,-3.5
34,Costa Rica,-82.5,9.5,-84.5,11.5,-82.5,9.5,-84.5,11.5,-82.5,9.5,-84.5,11.5,-82.5,8.5,-83.5,10.5,-82.5,8.5,-82.5,9.5,-85.5,10.5,-82.5,9.5,-82.5,8.5,-82.5,9.5,-85.5,10.5,-82.5,9.5,-85.5,10.5,-82.5,9.5
