,iso3,long,lat,SSP1,SSP3,SSP5
8899,AUS47127.0,-40.5,147.5,0.10884704443469792,-0.3283728430333896,-0.45634944325658694
8900,AUS47128.0,-40.5,148.5,-0.13331306967077036,-0.20238561103569397,-0.38467112068467707
8901,AUS47485.0,-41.5,145.5,0.0,0.0,0.0
8902,AUS47486.0,-41.5,146.5,0.0,0.0,0.0
8903,AUS47487.0,-41.5,147.5,9.065685996116339e-06,-0.9976202036675416,-0.00017393470166291429
8904,AUS47488.0,-41.5,148.5,0.17370359535213734,-0.9858130632389639,-0.191081721392068
8905,AUS47846.0,-42.5,146.5,0.07859500863948868,-0.36338113509561853,0.03560893995331497
8906,AUS47847.0,-42.5,147.5,-0.04307317816391139,-0.3554469262215664,-0.04324004496096477
8907,AUS47848.0,-42.5,148.5,-0.11244363817451938,-0.289213023487677,-0.14896438238935958
8908,AUS48206.0,-43.5,146.5,-0.03473179425979619,-0.2372865448395614,-0.04236939549802295
8909,AUS48207.0,-43.5,147.5,-0.1389477732904039,-0.6442759455218321,-0.22734344047561442
8910,ZWE38369.0,-16.5,29.5,-0.025836146954099783,-0.159975054305543,-0.04082075662795766
8911,ZWE38728.0,-17.5,28.5,-0.027245635965598966,-0.228047351386941,0.07390234522522816
8912,ZWE38729.0,-17.5,29.5,-0.02023490347772741,0.8495220956670733,-0.0552593456645692
8913,ZWE38730.0,-17.5,30.5,-0.017316038016534224,-0.40568754505568194,-0.44922065156252633
8914,ZWE38731.0,-17.5,31.5,0.22824218807102845,0.0,0.22824218807102845
8915,ZWE39087.0,-18.5,27.5,0.07334512176615215,0.07236932768351874,0.003950291272651745
8916,ZWE39088.0,-18.5,28.5,0.0,0.0,0.0
8917,ZWE39089.0,-18.5,29.5,-0.09806678939410653,-0.09806678939410653,0.0
8918,ZWE39090.0,-18.5,30.5,0.0,0.0,0.0
8919,ZWE39091.0,-18.5,31.5,7732502506390.506,7732502506390.506,-0.0019659616665136026
8920,ZWE39445.0,-19.5,25.5,0.05707167992227782,0.05707167992227782,0.017212822185395483
8921,ZWE39446.0,-19.5,26.5,-0.09405527089004563,-0.09405527089004563,-0.03451966973650362
8922,ZWE39447.0,-19.5,27.5,0.0714765402910576,0.0714765402910576,-0.38000638832382616
8923,ZWE39448.0,-19.5,28.5,2.0843231501772674,2.0843231501772674,-0.9949524613197093
8924,ZWE39449.0,-19.5,29.5,0.0,-0.5,0.0
8925,ZWE39450.0,-19.5,30.5,-0.011990093927271572,-0.0031026149761268496,-0.011990093927271572
8926,ZWE39451.0,-19.5,31.5,0.0,0.0,0.0
8927,ZWE39806.0,-20.5,26.5,0.0,0.0,0.0
8928,ZWE39807.0,-20.5,27.5,0.0,0.0,0.0
8929,ZWE39808.0,-20.5,28.5,0.006258330445408316,-0.01733434513089059,-0.008945486116552012
8930,ZWE39809.0,-20.5,29.5,0.031187537994018702,-0.035825605338272774,-0.016034462436832802
8931,ZWE39810.0,-20.5,30.5,0.1828222101640397,-0.33708203661010055,-0.15754400580253555
8932,ZWE39811.0,-20.5,31.5,0.11351154611072393,-0.22489634627909655,-0.12576907680329413
8933,ZWE40167.0,-21.5,27.5,3.236078143916566,-0.3848160726982874,-0.19444756059192506
8934,ZWE40168.0,-21.5,28.5,7.5255611107527995,-0.7718192367491622,-0.5510386512115807
8935,ZWE40169.0,-21.5,29.5,-0.16589417822417288,-0.4600426920677669,-0.3396177341551596
8936,ZWE40170.0,-21.5,30.5,-0.014238761254689055,-0.0902831799262194,-0.0361081862124874
8937,ZWE40529.0,-22.5,29.5,-0.010594307898672524,0.04585561028762982,0.0145685093075485
8938,ZWE40530.0,-22.5,30.5,-0.024544619759187765,-0.10964422491069814,-0.07765437859157756
8939,CHL38630.0,-17.5,-69.5,0.002686170176301125,0.011133925034802749,-0.13165186717647528
8940,CHL38989.0,-18.5,-70.5,-6.165503944553667e-05,-0.12280895777140481,0.013158337524477582
8941,CHL38990.0,-18.5,-69.5,0.2602769453392403,-0.7434310787316916,-0.8334341513754044
8942,CHL38991.0,-18.5,-68.5,0.0584400662981121,-0.32358469117372624,-0.6412390933609458
8943,CHL39349.0,-19.5,-70.5,0.03087690234426859,-0.19631553896007783,-0.5075967488781475
8944,CHL39350.0,-19.5,-69.5,0.16173232134301802,-0.6800025688693985,-0.4929464346712341
8945,CHL39351.0,-19.5,-68.5,0.21310909653026835,-0.8156497063456345,-0.570746618124849
8946,CHL39711.0,-20.5,-68.5,0.0414103096694994,-0.3986040538870107,-0.4366476412672737
8947,CHL40431.0,-22.5,-68.5,0.11341247681093412,-0.29351188297551506,-0.3744642927284398
8948,CHL40432.0,-22.5,-67.5,0.0,0.0,0.0
8949,CHL40791.0,-23.5,-68.5,0.0,0.0,0.0
8950,CHL41509.0,-25.5,-70.5,0.0,0.0,0.0
8951,CHL41510.0,-25.5,-69.5,0.0,0.0,0.0
8952,CHL41870.0,-26.5,-69.5,0.03095373627137919,-0.8957233079431732,-0.13309478312764056
8953,CHL41871.0,-26.5,-68.5,0.1896082690239772,-0.9459773281174897,-0.39939608520405756
8954,CHL42229.0,-27.5,-70.5,0.12011727335401025,-0.9995664395574383,-0.24089657694177719
8955,CHL42230.0,-27.5,-69.5,0.0,0.0,0.0
8956,CHL42588.0,-28.5,-71.5,-0.011513457161310938,-0.8213967259781769,0.0478838015539476
