,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
97,70.59,65.53,65.52,65.52,64.89,69.97,65.01,65.22,57.11,60.5,23.5
98,81.19,77.11,77.11,77.11,76.74,80.86,72.3,72.73,68.15,60.5,24.5
99,82.88,76.55,76.54,76.54,75.69,82.02,81.39,81.57,77.52,60.5,25.5
100,86.99,82.74,82.72,82.72,81.99,86.18,80.76,81.12,74.4,60.5,26.5
101,95.95,94.13,94.14,94.14,94.12,95.98,94.33,94.74,86.64,60.5,27.5
102,99.98,99.93,99.94,99.94,99.94,99.98,96.36,96.38,95.85,60.5,28.5
103,100.0,99.92,98.96,98.96,98.97,98.95,98.95,98.95,98.95,60.5,29.5
104,100.0,94.91,75.71,79.34,78.87,78.77,78.49,78.49,78.49,60.5,30.5
105,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,31.5
106,0.0,100.0,98.58,99.82,99.61,99.61,99.61,99.61,99.61,60.5,32.5
107,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,33.5
108,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,34.5
109,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,35.5
110,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,36.5
111,0.0,100.0,99.54,99.54,99.25,99.19,99.19,99.19,99.19,60.5,37.5
112,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,38.5
113,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,39.5
114,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,40.5
115,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,41.5
116,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,42.5
117,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,43.5
118,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,44.5
119,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,45.5
120,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,46.5
121,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,47.5
122,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,48.5
123,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,49.5
